"nocontrat";"exposition";"zone";"puissance";"agevehicule";"ageconducteur";"bonus";"marque";"carburant";"densite";"region"
"2553";5318;0.13;"D";11;0;45;50;12;"D";11;13
"2583";5375;0.29;"E";9;0;34;50;12;"E";11;13
"2584";5379;0.1;"D";5;0;67;118;12;"E";73;-1
"2605";5425;0.49;"C";4;0;37;57;12;"E";73;10
"2606";5426;0.06;"C";4;0;37;57;12;"E";73;10
"2629";5473;0.47;"B";6;0;36;60;12;"E";31;9
"2637";5487;0.08;"C";6;0;51;65;12;"D";11;7
"2639";5490;0.12;"E";6;0;53;50;12;"E";11;13
"2659";5534;0.5;"E";5;0;71;50;12;"E";82;13
"2668";5555;0.47;"B";5;0;43;50;12;"E";52;13
"2669";5556;0.07;"B";5;0;43;50;12;"E";52;13
"2714";5646;0.54;"E";8;0;25;84;12;"E";11;3
"2722";5663;0.31;"F";9;0;62;50;12;"E";11;13
"2735";5691;0.09;"A";4;0;53;50;12;"E";93;13
"2755";5733;0.26;"C";5;7;40;53;1;"E";72;13
"2765";5751;0.16;"C";4;0;31;60;12;"E";21;9
"2766";5753;0.08;"A";10;0;30;85;12;"D";72;3
"2811";5840;0.13;"C";11;6;35;56;2;"E";11;13
"2815";5850;0.43;"C";6;0;49;50;12;"D";93;13
"2846";5910;0.11;"D";4;0;41;90;12;"E";91;2
"2860";5939;0.44;"B";7;5;40;50;12;"E";22;13
"2879";5976;0.09;"E";7;0;39;100;12;"D";11;0
"2901";6021;0.37;"A";4;1;54;50;12;"E";73;13
"2914";6052;0.59;"D";7;0;49;50;12;"D";73;13
"2922";6068;0.07;"C";4;0;32;60;12;"E";94;9
"2932";6087;0.07;"C";7;0;35;80;12;"D";93;4
"2975";6185;0.09;"C";6;0;34;100;12;"E";91;0
"2981";6202;0.32;"F";4;0;40;50;12;"E";11;13
"2993";6229;0.13;"E";4;1;24;80;3;"D";53;4
"2997";6239;0.11;"D";4;0;37;57;12;"E";91;10
"3006";6259;0.09;"F";5;0;44;64;12;"E";11;8
"3007";6261;0.08;"E";10;0;31;64;12;"D";11;8
"3016";6282;0.34;"B";7;0;47;100;12;"D";11;0
"3019";6286;0.00819672131147541;"A";5;0;51;50;12;"E";93;13
"3020";6287;0.39;"A";5;0;51;50;12;"E";93;13
"3063";6375;0.47;"B";7;4;46;50;6;"E";11;13
"3066";6381;0.07;"B";4;0;64;68;12;"E";93;7
"3109";6483;0.24;"B";9;0;55;52;12;"E";93;13
"3112";6490;0.03;"C";7;2;44;50;12;"E";72;13
"3119";6505;0.41;"D";5;0;35;95;12;"E";73;1
"3122";6510;0.07;"D";5;0;26;85;12;"E";31;3
"3173";6618;0.41;"F";6;0;40;50;12;"E";11;13
"3182";6638;0.1;"F";4;0;29;60;12;"E";11;9
"3196";6666;0.04;"E";10;0;30;64;12;"E";11;8
"3197";6670;0.45;"D";5;15;25;95;1;"E";93;1
"3212";6703;0.05;"E";6;0;32;54;12;"E";11;11
"3263";6826;0.28;"F";4;0;46;60;12;"E";11;9
"3270";6841;0.05;"C";5;0;27;100;12;"D";41;0
"3271";6844;0.37;"A";11;0;57;50;12;"D";74;13
"3287";6882;0.35;"C";4;0;35;60;12;"E";82;9
"3292";6892;0.41;"D";7;9;66;56;1;"E";93;13
"3314";6945;0.43;"B";7;0;60;50;12;"D";73;13
"3319";6955;0.00273224043715847;"B";10;10;27;76;12;"D";93;5
"3321";6958;0.04;"B";10;10;27;76;12;"D";93;5
"3322";6961;0.35;"C";6;0;78;50;12;"E";73;13
"3335";6988;0.06;"C";7;0;36;50;12;"D";82;13
"3340";7002;0.43;"C";5;0;51;50;12;"E";91;13
"3346";7013;0.07;"E";6;2;26;100;12;"E";82;0
"3351";7026;0.02;"E";9;0;45;72;12;"E";11;6
"3376";7080;0.31;"D";11;0;43;60;12;"D";72;9
"3396";7127;0.34;"F";6;0;35;51;12;"E";11;12
"3399";7134;0.42;"E";5;0;49;54;12;"E";11;11
"3411";7160;0.00819672131147541;"C";5;0;72;50;12;"E";93;13
"3431";7210;0.08;"C";11;8;37;54;1;"D";22;11
"3432";7211;0.33;"C";6;6;37;54;3;"D";22;11
"3447";7249;0.4;"E";11;10;63;58;11;"E";93;13
"3473";7306;0.38;"D";6;6;21;95;3;"D";22;1
"3481";7324;0.4;"C";6;8;40;57;2;"D";72;10
"3488";7337;0.31;"E";6;0;30;68;12;"E";11;7
"3496";7356;0.34;"C";10;2;65;50;12;"D";25;13
"3499";7361;0.29;"A";10;0;38;76;12;"D";83;5
"3505";7373;0.28;"E";6;0;47;50;12;"E";93;13
"3512";7388;0.1;"E";6;2;22;85;3;"E";21;3
"3552";7474;0.38;"D";4;9;25;80;5;"E";25;4
"3561";7498;0.26;"A";4;0;54;50;12;"E";25;13
"3565";7505;0.33;"B";4;0;53;50;12;"E";52;13
"3566";7508;0.02;"C";6;0;54;50;12;"E";91;13
"3583";7548;0.14;"E";5;10;50;50;12;"E";23;13
"3590";7569;0.08;"B";5;0;30;90;12;"E";82;2
"3603";7600;0.23;"C";11;3;28;90;12;"E";82;2
"3612";7624;0.04;"A";6;0;46;67;12;"E";91;7
"3614";7629;0.07;"C";4;1;57;52;12;"E";11;13
"3623";7652;0.35;"E";6;0;73;58;12;"E";93;13
"3631";7673;0.3;"A";12;6;24;80;12;"D";25;4
"3636";7685;0.02;"C";5;0;52;50;12;"E";73;13
"3683";7796;0.02;"E";5;0;27;85;12;"E";11;3
"3705";7849;0.07;"B";5;0;52;50;12;"E";73;13
"3713";7869;0.05;"C";7;0;28;86;12;"D";91;2
"3717";7879;0.08;"C";4;0;36;50;12;"E";82;13
"3721";7890;0.18;"A";10;8;28;80;13;"D";26;4
"3735";7925;0.07;"E";6;3;45;50;12;"E";22;13
"3741";7937;0.28;"D";7;0;43;68;12;"D";11;7
"3765";7991;0.06;"C";6;0;49;50;12;"E";91;13
"3780";8029;0.2;"B";10;7;49;50;13;"D";72;13
"3814";8118;0.09;"F";5;0;31;80;12;"E";11;4
"3819";8131;0.31;"C";6;1;32;54;12;"D";82;11
"3828";8161;0.23;"E";4;0;39;50;12;"E";11;13
"3845";8211;0.3;"D";6;2;53;100;5;"E";93;0
"3870";8276;0.29;"E";8;0;49;50;6;"E";93;13
"3871";8278;0.14;"B";6;0;49;50;12;"E";93;13
"3875";8289;0.18;"B";4;0;22;95;12;"E";82;1
"3876";8291;0.24;"D";5;0;69;50;12;"E";11;13
"3885";8311;0.29;"E";6;0;56;100;12;"E";11;0
"3934";8436;0.19;"E";7;0;75;85;12;"E";93;3
"3965";8517;0.27;"D";9;0;30;69;12;"D";82;6
"3970";8528;0.06;"C";5;0;54;50;12;"E";26;13
"3976";8543;0.17;"D";10;0;45;50;12;"E";52;13
"3989";8574;0.27;"C";7;3;26;76;12;"E";91;5
"4012";8628;0.00273224043715847;"D";10;0;40;75;12;"E";11;5
"4013";8629;0.26;"D";10;0;40;75;12;"E";11;5
"4055";8731;0.04;"C";7;8;47;58;12;"E";52;13
"4065";8758;0.14;"D";9;15;51;50;12;"D";93;13
"4080";8797;0.25;"D";6;6;33;90;12;"D";93;2
"4092";8831;0.19;"B";5;0;46;50;12;"E";94;13
"4096";8840;0.18;"C";5;0;36;51;12;"E";22;12
"4101";8850;0.1;"E";4;0;22;100;12;"E";31;0
"4140";8954;0.23;"A";7;0;61;50;12;"D";93;13
"4158";8996;0.16;"E";4;0;44;50;12;"E";82;13
"4167";9018;0.23;"C";9;2;43;50;4;"E";11;13
"4205";9110;0.06;"E";4;0;29;100;12;"E";11;0
"4211";9125;0.22;"C";11;6;25;68;1;"D";91;7
"4229";9170;0.22;"C";6;9;22;85;1;"D";91;3
"4232";9179;0.22;"A";4;9;51;100;13;"E";93;0
"4243";9208;0.11;"B";6;0;70;50;12;"E";82;13
"4246";9213;0.22;"C";4;5;58;50;2;"E";93;13
"4257";9240;0.07;"C";13;3;36;50;12;"E";93;13
"4268";9265;0.19;"D";6;3;58;100;12;"E";82;0
"4303";9356;0.09;"E";7;0;63;50;12;"E";93;13
"4334";9436;0.15;"B";4;0;72;50;12;"E";93;13
"4336";9441;0.19;"B";5;2;49;50;2;"E";72;13
"4355";9491;0.19;"C";6;2;32;64;12;"D";91;8
"4359";9501;0.19;"C";4;0;51;50;12;"E";54;13
"4371";9532;0.08;"D";10;1;46;50;12;"D";11;13
"4384";9567;0.19;"C";5;8;23;80;2;"E";91;4
"4416";9652;0.07;"E";10;0;56;50;12;"E";93;13
"4431";9693;0.15;"C";7;0;41;50;12;"D";11;13
"4433";9699;0.18;"D";8;0;27;76;12;"E";93;5
"4457";9760;0.16;"B";10;0;63;50;12;"D";52;13
"4475";9804;0.16;"B";4;0;27;72;12;"E";72;6
"4483";9830;0.15;"C";10;4;26;66;12;"D";22;7
"4533";9963;0.14;"C";7;0;41;100;12;"E";91;0
"4537";9972;0.06;"D";5;0;52;50;12;"E";82;13
"4586";10104;0.12;"E";10;0;38;64;12;"E";11;8
"4590";10119;0.01;"E";7;0;49;50;12;"E";11;13
"4596";10134;0.07;"D";6;5;36;72;6;"D";74;6
"4608";10164;0.12;"D";5;0;37;52;12;"E";21;13
"4610";10168;0.04;"D";5;0;48;50;12;"E";91;13
"4657";10299;0.03;"E";7;0;57;50;12;"D";11;13
"4665";10322;0.04;"E";5;0;42;50;12;"E";11;13
"4668";10330;0.1;"F";5;0;71;50;12;"E";11;13
"4676";10352;0.1;"D";5;0;40;50;12;"E";53;13
"4688";10387;0.1;"E";6;0;72;50;12;"E";93;13
"4689";10390;0.1;"B";12;4;43;50;12;"D";82;13
"4719";10478;0.09;"E";4;8;24;100;4;"D";82;0
"4724";10492;0.09;"C";4;0;54;106;12;"E";31;-1
"4733";10517;0.04;"E";5;0;64;50;12;"E";11;13
"4778";10653;0.07;"D";11;0;35;59;12;"D";31;13
"4787";10680;0.07;"D";7;0;40;50;12;"D";52;13
"4810";10751;0.06;"E";7;0;53;50;12;"D";11;13
"4840";10835;0.05;"B";6;0;37;50;12;"E";73;13
"4848";10861;0.05;"D";5;0;43;50;12;"E";93;13
"4853";10877;0.05;"C";10;6;35;85;12;"E";93;3
"4854";10882;0.04;"C";10;0;52;50;12;"D";42;13
"4859";10900;0.11;"A";10;0;45;50;12;"D";52;13
"4886";10983;0.04;"D";7;0;34;50;12;"D";93;13
"4889";10992;0.01;"D";5;8;45;50;3;"E";11;13
"4899";11021;0.04;"A";5;0;45;50;12;"E";93;13
"4901";11028;0.04;"E";15;0;59;52;12;"E";93;13
"4931";11119;0.03;"D";6;10;27;100;12;"E";93;0
"4934";11128;0.03;"E";5;0;21;95;12;"E";72;1
"4946";11164;0.03;"F";5;0;45;50;12;"E";11;13
"4947";11167;0.03;"B";7;0;62;50;12;"E";72;13
"4950";11174;0.05;"C";7;0;27;81;12;"E";22;3
"4954";11187;0.03;"E";10;9;24;80;12;"E";11;4
"4957";11197;0.03;"D";4;0;51;82;12;"E";82;3
"4965";11229;0.03;"D";4;0;35;72;12;"E";93;6
"4966";11233;0.03;"E";7;0;62;50;12;"E";72;13
"4976";11268;0.02;"D";4;0;25;95;12;"E";93;1
"4998";11343;0.02;"A";7;3;53;50;12;"E";82;13
"5031";11450;0.00819672131147541;"C";5;1;40;50;12;"E";93;13
"5044";11572;0.19;"E";6;0;43;50;12;"E";11;13
"5048";11696;0.04;"D";5;0;47;50;12;"E";11;13
"5052";16642;1;"B";8;7;55;50;1;"D";24;13
"5061";16659;0.95;"F";5;3;53;54;2;"D";11;11
"5086";16709;0.66;"A";6;7;55;50;2;"D";26;13
"5091";16715;0.4;"C";5;4;42;58;1;"E";23;13
"5095";16723;0.21;"C";8;0;49;62;2;"D";24;13
"5100";16734;1;"C";6;4;80;50;2;"D";53;13
"5107";16746;0.87;"C";5;1;44;50;5;"D";24;13
"5142";16813;1;"B";5;7;75;50;1;"E";24;13
"5144";16815;0.75;"D";7;5;72;50;1;"E";52;13
"5165";16858;1;"A";6;3;68;50;2;"D";24;13
"5189";16907;0.57;"A";6;11;62;50;3;"D";24;13
"5198";16926;0.03;"C";5;0;62;50;2;"E";24;13
"5216";16958;0.13;"C";6;1;48;64;2;"E";24;8
"5232";16985;0.35;"C";8;9;45;62;14;"D";82;13
"5250";17021;1;"B";6;12;52;55;1;"D";24;13
"5252";17025;1;"E";4;6;37;50;5;"E";24;13
"5253";17027;1;"A";7;12;44;50;5;"D";24;13
"5259";17037;1;"C";7;7;63;50;2;"D";25;13
"5270";17058;1;"B";7;12;54;50;1;"E";25;13
"5294";17104;1;"A";5;11;72;50;2;"E";24;13
"5304";17125;1;"A";8;7;65;62;3;"E";24;13
"5307";17131;1;"B";7;13;66;50;2;"D";24;13
"5312";17142;1;"A";4;10;74;50;1;"E";24;13
"5318";17153;1;"C";5;8;68;50;2;"E";24;13
"5320";17157;1;"B";4;5;76;50;2;"D";24;13
"5348";17215;1;"C";7;5;64;50;2;"E";24;13
"5353";17225;0.74;"C";6;8;62;50;1;"D";82;13
"5359";17236;1;"C";6;12;53;50;1;"D";53;13
"5360";17238;1;"B";7;13;72;50;2;"D";24;13
"5415";17342;1;"B";4;7;80;50;2;"E";24;13
"5456";17416;0.3;"C";7;4;48;50;1;"D";53;13
"5466";17432;1;"A";5;6;75;50;5;"E";25;13
"5487";17470;0.5;"C";5;0;44;62;2;"D";24;13
"5492";17479;1;"D";7;11;69;50;11;"E";24;13
"5511";17517;0.56;"B";5;1;48;50;2;"D";24;13
"5536";17565;1;"C";5;8;80;50;2;"E";24;13
"5542";17575;1;"B";7;4;47;50;2;"D";24;13
"5555";17596;1;"C";6;13;64;50;1;"D";24;13
"5562";17606;0.00546448087431694;"C";4;0;49;50;1;"E";25;13
"5566";17612;0.75;"E";6;1;66;50;1;"D";24;13
"5574";17631;1;"A";7;22;81;50;2;"E";24;13
"5585";17651;0.41;"C";6;2;50;50;3;"D";24;13
"5595";17667;1;"A";4;13;72;50;2;"E";24;13
"5598";17672;0.83;"A";6;5;63;50;2;"D";24;13
"5627";17726;0.7;"C";11;12;54;50;2;"E";24;13
"5636";17743;0.16;"C";7;6;57;50;1;"E";24;13
"5663";17795;1;"A";7;2;41;50;1;"E";24;13
"5678";17827;1;"C";7;5;48;50;1;"E";82;13
"5691";17855;1;"A";4;15;43;50;1;"E";25;13
"5777";18024;1;"B";5;5;81;50;1;"E";24;13
"5788";18045;1;"C";6;3;75;50;3;"D";53;13
"5791";18051;1;"D";7;8;65;50;1;"E";24;13
"5808";18088;1;"C";6;13;63;50;4;"E";53;13
"5814";18099;1;"D";7;9;70;50;2;"E";24;13
"5819";18108;1;"C";7;1;44;50;6;"E";26;13
"5822";18113;0.06;"A";5;0;69;58;1;"E";24;13
"5834";18134;1;"A";15;1;73;50;10;"E";24;13
"5847";18159;1;"A";7;2;75;50;2;"E";24;13
"5873";18207;1;"C";7;5;56;50;2;"E";82;13
"5892";18242;1;"B";7;9;50;50;2;"E";52;13
"5896";18249;1;"B";6;1;70;50;1;"E";52;13
"5929";18307;1;"A";4;18;72;50;1;"E";24;13
"5934";18319;1;"D";7;6;45;50;1;"E";52;13
"5954";18358;0.4;"A";5;0;60;50;1;"D";24;13
"5955";18360;1;"E";5;19;56;50;1;"E";53;13
"5970";18386;0.1;"A";6;3;41;50;1;"E";24;13
"5975";18395;1;"A";5;6;80;50;1;"E";24;13
"5987";18417;0.5;"B";5;5;53;50;1;"E";53;13
"6011";18464;1;"D";7;14;63;50;1;"E";24;13
"6034";18508;1;"A";5;7;65;50;1;"E";24;13
"6062";18563;0.38;"A";4;2;52;50;2;"E";91;13
"6098";18629;1;"A";7;4;71;50;1;"E";24;13
"6100";18632;0.00819672131147541;"E";6;2;51;50;3;"D";52;13
"6128";18684;0.49;"D";4;13;73;50;6;"E";24;13
"6136";18697;0.43;"C";4;12;73;50;1;"E";54;13
"6166";18752;0.51;"C";5;10;46;50;2;"E";53;13
"6168";18755;0.19;"A";5;6;40;50;5;"D";24;13
"6170";18757;0.73;"A";6;0;40;50;4;"D";24;13
"6174";18763;0.04;"C";5;10;60;50;2;"D";24;13
"6184";18783;1;"B";7;3;80;73;3;"E";41;5
"6191";18799;1;"A";6;6;55;50;2;"D";24;13
"6202";18819;1;"B";6;5;68;50;2;"D";24;13
"6255";18914;1;"A";6;10;63;50;1;"D";24;13
"6266";18934;1;"A";6;3;73;50;2;"D";24;13
"6290";18981;1;"B";4;10;66;50;1;"E";24;13
"6295";18991;1;"A";5;17;42;50;3;"D";24;13
"6314";19026;1;"B";5;10;51;50;14;"E";24;13
"6315";19029;1;"A";6;3;47;50;1;"D";24;13
"6331";19059;1;"A";5;14;75;50;1;"E";24;13
"6341";19076;0.09;"C";7;10;50;50;2;"E";53;13
"6377";19148;1;"C";5;13;69;50;1;"E";53;13
"6415";19222;1;"A";7;12;45;50;2;"D";24;13
"6436";19265;1;"C";5;4;61;50;2;"E";53;13
"6440";19273;1;"C";5;9;76;50;2;"E";24;13
