"no";"nocontrat";"garantie";"cout"
"2559";2559;1007653;"2DO";2437.43
"2565";2565;4038398;"2DO";640.97
"2566";2566;4038398;"1RC";1204
"2570";2570;1007653;"1RC";0
"2579";2579;4062648;"2DO";92.27
"2581";2581;1007653;"1RC";1128
"2586";2586;4037286;"4BG";582.7
"2592";2592;1013626;"2DO";9702.09
"2606";2606;4070551;"1RC";1204
"2644";2644;4023643;"2DO";600.41
"2700";2700;4061626;"2DO";0
"2701";2701;4061626;"1RC";1204
"2706";2706;4006650;"2DO";2207.03
"2739";2739;4008589;"4BG";713.78
"2755";2755;4025287;"2DO";1796.67
"2786";2786;4082417;"2DO";922.42
"2787";2787;4082417;"1RC";1204
"2789";2789;4038748;"2DO";27.51
"2894";2894;4038804;"2DO";1265.11
"2909";2909;4029528;"2DO";311.06
"2919";2919;4036615;"2DO";383.65
"2959";2959;4031963;"2DO";5855.8
"2961";2961;4079278;"2DO";2105.97
"2984";2984;4054495;"2DO";1754.33
"3011";3011;4040468;"4BG";450.55
"3031";3031;4030078;"2DO";753.32
"3041";3041;4035105;"2DO";4765.04
"3042";3042;4035105;"1RC";554.02
"3056";3056;4079442;"4BG";96.41
"3065";3065;4016764;"2DO";2502.67
"3066";3066;4016764;"3VI";0
"3072";3072;4073727;"2DO";235.88
"3074";3074;4012636;"4BG";547.39
"3121";3121;4048233;"2DO";599.49
"3136";3136;1002524;"3VI";1622.41
"3157";3157;1004801;"2DO";-449.59
"3158";3158;4036956;"4BG";684.81
"3172";3172;4047886;"2DO";784.75
"3175";3175;4026049;"2DO";0
"3176";3176;4026049;"1RC";1204
"3180";3180;4038008;"2DO";140.9
"3189";3189;4063105;"2DO";756.62
"3191";3191;4032404;"4BG";99.03
"3217";3217;4043603;"2DO";680.22
"3218";3218;4043603;"1RC";1204
"3223";3223;4052085;"2DO";1495.68
"3305";3305;4007110;"2DO";488.04
"3306";3306;4007110;"4BG";55.11
"3336";3336;4061833;"4BG";50.23
"3387";3387;4059149;"4BG";612.57
"3419";3419;4074687;"2DO";89.09
"3424";3424;1006322;"2DO";0
"3459";3459;4081907;"1RC";268.16
"3460";3460;4081907;"1RC";0
"3461";3461;4081907;"1RC";1204
"3468";3468;1005918;"3VI";188.81
"3475";3475;4009785;"4BG";734.38
"3476";3476;4025380;"2DO";1683.59
"3503";3503;4034577;"2DO";-441.53
"3528";3528;4085195;"2DO";3459.66
"3533";3533;4029010;"4BG";602.77
"3558";3558;4074158;"1RC";1204
"3564";3564;4031494;"1RC";1031
"3566";3566;4031494;"1RC";1204
"3584";3584;4031494;"1RC";2229.81
"3585";3585;4031494;"1RC";1204
"3589";3589;4041974;"4BG";1004.76
"3592";3592;4066572;"1RC";602
"3599";3599;5066379;"2DO";591.44
"3619";3619;1011785;"2DO";84.75
"3624";3624;5001055;"2DO";5231.03
"3625";3625;5001055;"1RC";2351.15
"3626";3626;5001055;"1RC";1204
"3674";3674;5045482;"2DO";1270
"3676";3676;5045482;"1RC";2622.42
"3677";3677;5045482;"1RC";1204
"3680";3680;5081027;"1RC";699.55
"3730";3730;1014782;"2DO";1257.72
"3759";3759;5022439;"2DO";279.62
"3772";3772;4003149;"4BG";470.23
"3784";3784;5085322;"4BG";0
"3785";3785;5085322;"3VI";0
"3794";3794;5081380;"4BG";619.18
"3801";3801;5006808;"2DO";391.93
"3802";3802;5042032;"2DO";328.89
"3828";3828;5044190;"2DO";10110.68
"3829";3829;5044190;"1RC";1204
"3832";3832;5073135;"2DO";1041.54
"3850";3850;5018232;"2DO";79.41
"3851";3851;5018232;"1RC";1204
"3854";3854;5014156;"2DO";81.5
"3855";3855;5014156;"1RC";1204
"3864";3864;1012274;"4BG";216.39
"3872";3872;5065186;"4BG";330.45
"3899";3899;5046978;"2DO";-857.13
"3930";3930;1012862;"4BG";0
"3954";3954;5036140;"1RC";1204
"3982";3982;5008119;"4BG";467.4
"3983";3983;5061483;"4BG";456.44
"3989";3989;5069075;"2DO";670.12
"4012";4012;5000954;"2DO";-574.18
"4013";4013;5034743;"2DO";-801.57
"4019";4019;1013626;"2DO";2761.5
"4024";4024;5005931;"2DO";280.3
"4030";4030;1013626;"1RC";1128.12
"4037";4037;5019008;"4BG";768.87
"4039";4039;5021322;"4BG";43.53
"4059";4059;5077361;"2DO";1024.59
"4093";4093;5056221;"2DO";511.98
"4123";4123;5021182;"2DO";-557.35
"4135";4135;5032233;"2DO";2259.91
"4139";4139;5003917;"2DO";673.95
"4159";4159;5058374;"4BG";528.94
"4178";4178;5021044;"1RC";0
"4213";4213;5054311;"2DO";1107.34
"4214";4214;5054311;"1RC";1204
"4219";4219;5036378;"5CO";716.14
"4220";4220;5036378;"2DO";2539.86
"4221";4221;5036378;"1RC";289.43
"4255";4255;5085335;"4BG";501.48
"4323";4323;5067398;"1RC";-413.03
"4324";4324;5067398;"1RC";660
"4329";4329;5052888;"4BG";127.88
"4338";4338;1011677;"4BG";462.53
"4354";4354;5074924;"2DO";5195.5
"4355";4355;5074924;"1RC";8033.42
"4360";4360;1011477;"2DO";2234.88
"4361";4361;5049641;"2DO";282.78
"4401";4401;5060713;"2DO";-694.54
"4402";4402;5060713;"1RC";0
"4425";4425;5037507;"2DO";261.48
"4446";4446;5047846;"2DO";-147.98
"4447";4447;5047846;"1RC";602
"4464";4464;5049153;"2DO";2095.33
"4465";4465;5049153;"1RC";1204
"4504";4504;5071956;"2DO";-650.04
"4516";4516;1007670;"5CO";10294.14
"4518";4518;5051507;"2DO";110
"4525";4525;5007080;"2DO";0
"4526";4526;5007080;"1RC";1204
"4528";4528;1007670;"2DO";8258.49
"4539";4539;1007670;"1RC";0
"4558";4558;5086421;"4BG";71.76
"4562";4562;5043446;"2DO";2957.29
"4607";4607;5057190;"1RC";106.46
"4617";4617;5073355;"4BG";600.05
"4618";4618;5073355;"2DO";0
"4632";4632;5074196;"1RC";1204
"4648";4648;5060401;"2DO";898
"4649";4649;5060401;"1RC";1204
"4651";4651;5085238;"2DO";-604.53
"4662";4662;5038903;"4BG";745.37
"4668";4668;5083429;"2DO";726.44
"4704";4704;5066769;"2DO";888.11
"4705";4705;5066769;"1RC";1204
"4726";4726;5056215;"2DO";2679.64
"4727";4727;5056215;"1RC";3198.4
"4728";4728;5056215;"1RC";1204
"4742";4742;5035665;"2DO";-325.21
"4745";4745;5060892;"4BG";594.26
"4779";4779;5006036;"2DO";1321.19
"4781";4781;5047283;"4BG";0
"4782";4782;5047283;"2DO";777.65
"4783";4783;5045247;"2DO";-545.64
"4797";4797;5049016;"4BG";792.78
"4806";4806;5026061;"1RC";1204
"4851";4851;5054327;"4BG";161.34
"4859";4859;5036586;"4BG";0
"4878";4878;5061025;"2DO";-429.91
"4905";4905;5055229;"1RC";-7.54
"4965";4965;5083533;"2DO";93.05
"4972";4972;5071193;"2DO";579.82
"4973";4973;5071193;"1RC";0
"4981";4981;5005561;"4BG";457.61
"5009";5009;5071326;"2DO";438.89
"5026";5026;5079062;"2DO";1166.27
"5027";5027;5079062;"1RC";1204
"5049";5049;5025031;"2DO";819.03
"5063";5063;5027657;"2DO";-255.57
"5109";5109;5053076;"4BG";616.75
"5112";5112;1005698;"2DO";-623.49
"5117";5117;5023190;"2DO";2295.3
"5118";5118;5023190;"1RC";1204
"5127";5127;5006820;"2DO";551.87
"5128";5128;5064728;"4BG";864.5
"5155";5155;5057257;"1RC";1286.26
"5170";5170;5015382;"2DO";0
"5196";5196;5005904;"2DO";416.81
"5197";5197;5005904;"1RC";1204
"5198";5198;5044222;"2DO";-333.67
"5204";5204;5075540;"4BG";455.95
"5220";5220;5085393;"2DO";236.89
"5221";5221;5085393;"1RC";1204
"5246";5246;5007461;"2DO";0
"5247";5247;5007461;"1RC";0
"5270";5270;5032063;"4BG";516.6
"5293";5293;5054499;"2DO";490.85
"5301";5301;1004176;"4BG";390.04
"5305";5305;5000114;"2DO";211.08
"5307";5307;5066628;"1RC";105.3
"5308";5308;5066628;"1RC";0
"5317";5317;5042070;"2DO";4926.12
"5342";5342;5047905;"4BG";643.02
"5394";5394;5054807;"2DO";603.01
"5425";5425;5024445;"4BG";978.44
"5441";5441;5056471;"2DO";691.42
"5442";5442;5056471;"1RC";1204
"5460";5460;5033060;"2DO";2852.02
"5463";5463;5051884;"2DO";224.02
"5464";5464;5051884;"1RC";1204
"5475";5475;5075737;"2DO";28.26
"5476";5476;5075737;"1RC";0
"5492";5492;5004697;"2DO";-681.8
"5510";5510;5038711;"4BG";519.23
"5546";5546;1013718;"1RC";1128.12
"5554";5554;5054807;"2DO";868.51
"5560";5560;5081908;"1RC";-1044.3
"5567";5567;5043592;"4BG";538.06
"5615";5615;5036331;"4BG";0
"5617";5617;5056215;"4BG";82.6
"5627";5627;5040782;"2DO";527.98
"5628";5628;5040782;"1RC";1204
"5646";5646;1009738;"3VI";615.26
"5669";5669;5067450;"4BG";551.01
"5674";5674;5024445;"2DO";85.51
"5679";5679;1006180;"2DO";460.67
"5701";5701;1013992;"1RC";1128
"5710";5710;5067737;"2DO";-881.98
"5731";5731;5013915;"5CO";0
"5732";5732;5013915;"2DO";773.93
"5733";5733;5013915;"1RC";792
"5735";5735;5013915;"1RC";1204
"5766";5766;5009315;"4BG";338.37
"5769";5769;5018268;"5CO";-887.66
"5770";5770;5018268;"2DO";1426.16
"5771";5771;5018268;"1RC";0
"5795";5795;5050967;"4BG";481.89
"5807";5807;5040745;"2DO";2446.38
"5834";5834;1008147;"4BG";415.56
"5836";5836;5017915;"2DO";1217.07
"5862";5862;5052328;"2DO";0
"5863";5863;5052328;"1RC";1204
"5875";5875;5056564;"2DO";0
"5950";5950;5041524;"2DO";0
"5951";5951;5041524;"1RC";1204
"5981";5981;5069205;"2DO";479.54
"5982";5982;5069205;"1RC";1204
"5986";5986;5058612;"2DO";1682.79
"6015";6015;5045581;"1RC";1204
"6033";6033;1005297;"2DO";-406.54
"6055";6055;1002200;"1RC";1128
"6079";6079;5018268;"2DO";758.59
"6080";6080;5012596;"2DO";2022.77
"6083";6083;5069122;"4BG";303.2
"6084";6084;5069122;"2DO";0
"6128";6128;5060474;"4BG";765.31
"6129";6129;5026452;"4BG";644.82
"6131";6131;5006648;"4BG";0
"6167";6167;5015476;"4BG";137.91
"6196";6196;5034848;"2DO";89.7
"6216";6216;5066353;"2DO";767.71
"6248";6248;5012560;"2DO";4550.85
"6251";6251;5060892;"2DO";64.4
"6266";6266;5045336;"4BG";82.62
"6267";6267;5045336;"2DO";0
"6307";6307;5075009;"5CO";0
"6308";6308;5075009;"2DO";3107.86
"6309";6309;5075009;"1RC";17378
"6310";6310;5075009;"1RC";9110
"6314";6314;5034848;"2DO";1859.43
"6315";6315;5027977;"2DO";955.66
"6375";6375;5082644;"2DO";3684.61
"6376";6376;5082644;"1RC";602
"6418";6418;1013213;"4BG";508.93
"6442";6442;5046427;"2DO";0
"6443";6443;5046427;"1RC";1204
"6451";6451;1002473;"2DO";481.36
"6459";6459;5045642;"2DO";1088.4
"6484";6484;1012815;"2DO";729.38
"6488";6488;5063524;"1RC";660
"6495";6495;1012815;"1RC";1128
"6499";6499;5063128;"2DO";0
"6513";6513;5061735;"2DO";63.39
"6522";6522;5060366;"1RC";127.97
"6523";6523;5060366;"5CO";18545
"6552";6552;5083042;"4BG";455.7
"6567";6567;5004762;"2DO";90.3
"6580";6580;5005510;"5CO";556.14
"6581";6581;5005510;"2DO";7892.33
"6583";6583;5061153;"2DO";-526.31
"6598";6598;5047164;"4BG";717.31
"6613";6613;5050056;"2DO";0
"6614";6614;5050056;"1RC";1204
"6617";6617;5051481;"2DO";-449.61
"6619";6619;5027500;"4BG";522.14
"6625";6625;5070703;"4BG";569.38
"6651";6651;1005779;"4BG";0
"6652";6652;5085252;"2DO";2036.42
"6661";6661;5037553;"2DO";1120
"6663";6663;5037553;"1RC";1320
"6670";6670;5023259;"2DO";102.87
"6706";6706;1000997;"2DO";952.29
"6717";6717;1012008;"2DO";-169.75
"6745";6745;5061639;"4BG";631.94
"6819";6819;5041813;"4BG";694.86
"6828";6828;1010843;"4BG";495.79
"6845";6845;5067105;"3VI";1616.64
"6854";6854;5018604;"2DO";1838.83
"6855";6855;5018604;"1RC";9806
"6856";6856;5018604;"1RC";2089.04
"6858";6858;5037092;"4BG";606.26
"6862";6862;1013992;"4BG";627.98
"6881";6881;5021486;"2DO";405.54
"6999";6999;5071356;"2DO";-8.46
"7014";7014;1015335;"4BG";491.45
"7015";7015;5078917;"5CO";0
"7016";7016;5078917;"2DO";40.07
"7017";7017;5078917;"1RC";22000
"7018";7018;5078917;"1RC";1204
"7043";7043;5021456;"4BG";634.36
"7062";7062;5053252;"4BG";718.45
"7066";7066;5073521;"2DO";1471.33
"7067";7067;5073521;"1RC";1320
"7098";7098;5058498;"1RC";-338.06
"7104";7104;5075383;"3VI";0
"7105";7105;5048790;"2DO";948.15
"7116";7116;5004024;"2DO";1289.83
"7140";7140;5063131;"2DO";895.23
"7148";7148;5067075;"2DO";1982.58
"7149";7149;5067075;"1RC";1204
"7153";7153;5025948;"4BG";349.73
"7234";7234;5057481;"4BG";642.37
"7250";7250;5035862;"2DO";-525.22
"7251";7251;5061704;"2DO";1749.48
"7253";7253;5074371;"2DO";2342.86
"7273";7273;5055061;"2DO";-695
"7277";7277;5034208;"2DO";2142.19
"7303";7303;5012720;"2DO";851.79
"7306";7306;5065305;"4BG";527.47
"7330";7330;5001759;"4BG";343.04
"7335";7335;1012629;"1RC";71.29
"7340";7340;5045914;"2DO";909.69
"7341";7341;5045914;"1RC";1204
"7375";7375;5030228;"2DO";1193.41
"7413";7413;5036802;"1RC";0
"7423";7423;1009834;"2DO";40.96
"7427";7427;5048790;"4BG";687.71
"7429";7429;5070928;"4BG";1199.21
"7430";7430;5025582;"3VI";3430.6
"7452";7452;5078424;"4BG";736.94
"7459";7459;5068907;"2DO";1610.24
"7460";7460;5068907;"1RC";1204
"7474";7474;5056882;"2DO";1634.7
"7488";7488;5000590;"1RC";1204
"7552";7552;5029688;"4BG";88.68
"7554";7554;5030319;"4BG";82.6
"7555";7555;5035862;"4BG";675.92
"7556";7556;1008446;"4BG";638.05
"7563";7563;5014780;"4BG";669.08
"7568";7568;5056621;"2DO";1360.35
"7575";7575;5018658;"4BG";626.26
"7578";7578;1011785;"4BG";117.75
"7586";7586;5015739;"2DO";2421.03
"7594";7594;5031018;"4BG";700.2
"7633";7633;5006275;"4BG";561.49
"7635";7635;5073017;"4BG";409.92
"7641";7641;5080565;"4BG";752.12
"7679";7679;5060571;"2DO";3622.49
"7691";7691;5043625;"2DO";-908.21
"7692";7692;5005849;"3VI";12570.76
"7696";7696;5005476;"2DO";1815.05
"7697";7697;5005476;"1RC";7380
"7698";7698;5005476;"1RC";1204
"7704";7704;5018634;"5CO";7000
"7705";7705;5018634;"2DO";5919.44
"7706";7706;5018634;"1RC";7000
"7707";7707;5018634;"1RC";7697.78
"7708";7708;5037640;"1RC";-884.97
"7717";7717;5026110;"4BG";538.08
"7746";7746;5076217;"4BG";498.74
"7752";7752;5011380;"4BG";639.41
"7772";7772;5033327;"4BG";954.8
"7773";7773;5021059;"2DO";4953.82
"7818";7818;5041555;"2DO";568.65
"7880";7880;5034802;"1RC";0
"7906";7906;5059681;"4BG";414.97
"7910";7910;5007882;"4BG";161.02
"7920";7920;1013451;"2DO";-380.64
"7931";7931;1013571;"2DO";328.28
"7932";7932;5010661;"2DO";796.33
"7958";7958;5031418;"2DO";1232.56
"7961";7961;5010390;"2DO";0
"7962";7962;5010390;"1RC";1204
"7982";7982;5065721;"2DO";-772.24
"7994";7994;5063131;"2DO";0
"8016";8016;5053615;"2DO";2070
"8017";8017;5053615;"1RC";1320
"8046";8046;5067885;"4BG";252.56
"8047";8047;5067885;"3VI";1394.03
"8096";8096;5053023;"4BG";426.09
"8113";8113;5047025;"4BG";374.05
"8114";8114;5047025;"2DO";377.77
"8127";8127;5080868;"2DO";-330.02
"8129";8129;5031018;"2DO";-609.57
"8152";8152;1004183;"2DO";2050.68
"8158";8158;5014852;"4BG";916.09
"8172";8172;5007485;"2DO";852.21
"8173";8173;5007485;"1RC";1204
"8175";8175;5015739;"4BG";482.97
"8176";8176;5066922;"2DO";180.96
"8187";8187;5031960;"4BG";517.63
"8190";8190;5037541;"2DO";1094.4
"8194";8194;5013183;"2DO";496
"8217";8217;5019101;"1RC";1204
"8220";8220;5052328;"2DO";1470
"8221";8221;5052328;"1RC";1320
"8224";8224;5026540;"2DO";42.81
"8244";8244;5076496;"2DO";90.59
"8245";8245;5076496;"1RC";1204
"8248";8248;5000445;"2DO";2500.39
"8257";8257;5084332;"4BG";690.21
"8258";8258;5061222;"2DO";19.14
"8259";8259;5061222;"1RC";1320
"8262";8262;1012522;"2DO";413.22
"8273";8273;1012522;"1RC";1128.12
"8292";8292;5061548;"2DO";1745.1
"8293";8293;5061548;"1RC";1851.89
"8325";8325;5051497;"1RC";0
"8335";8335;5025606;"2DO";0
"8336";8336;5025606;"1RC";0
"8349";8349;5086895;"4BG";739.53
"8370";8370;5089302;"2DO";1482.68
"8379";8379;5086871;"4BG";620.64
"8428";8428;1011785;"1RC";564
"8442";8442;5089849;"2DO";90.3
"8447";8447;5088600;"1RC";1204
"8468";8468;5087662;"4BG";110.35
"8512";8512;5095058;"2DO";681.16
"8549";8549;5094247;"2DO";89.7
"8550";8550;1008414;"2DO";1597.45
"8564";8564;5088529;"1RC";-619.12
"8565";8565;5088529;"1RC";0
"8566";8566;5088529;"1RC";556.14
"8620";8620;5095067;"4BG";798.88
"8623";8623;5086871;"2DO";-714.17
"8646";8646;5089151;"2DO";-625.15
"8647";8647;5092165;"2DO";-285.21
"8683";8683;1011201;"2DO";700.37
"8711";8711;5091446;"2DO";4083.33
"8721";8721;5092696;"4BG";657.48
"8746";8746;5094652;"2DO";1151.53
"8747";8747;5094652;"1RC";2911.8
"8749";8749;5087033;"2DO";16423.35
"8808";8808;5095798;"2DO";0
"8809";8809;5095798;"1RC";1204
"8838";8838;1002870;"4BG";405.63
"8841";8841;5096966;"2DO";575.72
"8848";8848;5092505;"2DO";0
"8850";8850;5092505;"4BG";802.01
"8851";8851;5092505;"2DO";1369.47
"8904";8904;5092747;"2DO";70.57
"8923";8923;5095276;"1RC";165.04
"8924";8924;5095276;"1RC";0
"8926";8926;5095276;"1RC";602
"8929";8929;5069585;"4BG";0
"8939";8939;5101493;"2DO";0
"8979";8979;5092272;"4BG";704.5
"8987";8987;5093043;"2DO";834.09
"8989";8989;5097001;"2DO";0
"8990";8990;5097001;"1RC";0
"9036";9036;1002411;"2DO";1249.16
"9039";9039;5098678;"4BG";645.6
"9055";9055;5097249;"4BG";739.09
"9078";9078;5089980;"1RC";2524
"9106";9106;5101037;"4BG";739.8
"9112";9112;5095867;"4BG";324.63
"9113";9113;5097793;"2DO";-747.73
"9138";9138;5094460;"1RC";947.52
"9156";9156;5098274;"2DO";21.4
"9167";9167;5098207;"2DO";1908.44
"9187";9187;5098771;"4BG";98.5
"9196";9196;5087744;"2DO";1770.67
"9198";9198;5088529;"4BG";527.29
"9214";9214;5099700;"2DO";799.06
"9220";9220;5105865;"3VI";83.72
"9238";9238;5093297;"4BG";65.78
"9240";9240;5095792;"2DO";3086.97
"9259";9259;5095487;"2DO";731.93
"9317";9317;5093249;"2DO";-475.84
"9332";9332;5089864;"2DO";2135.17
"9333";9333;5089864;"1RC";5801
"9350";9350;5102429;"2DO";572.21
"9354";9354;5092986;"2DO";5956.95
"9356";9356;5092986;"1RC";2524
"9368";9368;5087466;"2DO";884.69
"9369";9369;5087466;"1RC";556.14
